75001,32.960047, -96.838522
75002,33.089854, -96.608600
75006,32.962141, -96.898585
75007,33.005262, -96.896742
75009,33.338899, -96.752977
75010,33.050164, -96.874540
75013,33.114327, -96.693964
75019,32.963417, -96.984664
75020,33.770785, -96.604061
75021,33.727126, -96.470794
75022,33.034890, -97.124906
75023,33.056756, -96.730831
75024,33.075422, -96.802686
75025,33.090085, -96.740008
75028,33.032710, -97.060070
75032,32.857112, -96.431210
75034,33.146638, -96.855822
75035,33.163130, -96.790193
75038,32.874776, -96.996862
75039,32.885612, -96.942661
75040,32.928902, -96.619782
75041,32.880196, -96.651555
75042,32.911702, -96.674838
75043,32.857447, -96.575798
75044,32.964607, -96.649686
75048,32.968973, -96.580671
75050,32.773069, -97.005227
75051,32.729440, -96.996462
75052,32.664953, -97.024692
75054,32.591210, -97.039429
75056,33.070183, -96.917772
75057,33.050725, -96.974623
75058,33.450768, -96.742245
75060,32.796483, -96.954806
75061,32.825907, -96.966915
75062,32.847370, -96.957871
75063,32.920430, -96.986323
75065,33.110351, -97.005469
75067,33.013546, -97.000160
75068,33.177062, -96.950292
75069,33.179984, -96.585712
75070,33.171916, -96.696296
75071,33.245817, -96.630720
75074,33.031561, -96.673164
75075,33.021268, -96.741558
75076,33.800706, -96.725999
75077,33.081178, -97.060924
75078,33.241758, -96.811855
75080,32.976063, -96.742080
75081,32.948918, -96.709719
75082,32.991557, -96.663063
75087,32.943901, -96.452875
75088,32.897841, -96.550370
75089,32.936586, -96.551566
75090,33.604131, -96.550405
75092,33.652101, -96.700254
75093,33.034224, -96.811608
75094,33.021794, -96.615481
75098,33.012135, -96.534936
75101,32.270032, -96.702494
75102,32.057938, -96.632547
75103,32.516876, -95.883622
75104,32.580181, -96.964675
75105,32.263010, -96.387663
75109,32.042784, -96.343757
75110,32.084915, -96.528172
75114,32.610575, -96.444256
75115,32.599427, -96.864075
75116,32.660660, -96.911882
75117,32.715013, -95.854461
75119,32.325881, -96.588238
75124,32.326026, -95.974056
75125,32.536700, -96.621747
75126,32.743178, -96.454900
75127,32.690295, -95.789932
75132,32.945748, -96.373883
75134,32.617663, -96.778058
75135,33.066345, -96.221437
75137,32.643212, -96.916468
75140,32.646573, -95.687531
75141,32.637333, -96.697609
75142,32.568163, -96.250214
75143,32.366686, -96.245039
75144,32.108388, -96.207955
75146,32.564518, -96.752223
75147,32.436676, -96.079558
75148,32.126221, -96.024130
75149,32.773369, -96.618811
75150,32.817399, -96.630416
75152,32.439871, -96.678051
75153,32.158265, -96.329632
75154,32.521773, -96.807315
75155,32.229113, -96.475509
75156,32.277759, -96.105332
75157,32.464756, -96.439520
75158,32.462831, -96.402131
75159,32.604543, -96.543537
75160,32.758408, -96.301323
75161,32.738471, -96.169166
75163,32.166584, -96.118820
75164,33.065971, -96.308737
75165,32.372201, -96.784944
75166,33.013047, -96.453887
75167,32.360829, -96.915523
75169,32.703269, -95.994666
75172,32.605177, -96.674317
75173,33.061737, -96.395825
75180,32.716606, -96.620087
75181,32.723893, -96.555804
75182,32.800521, -96.547575
75189,32.942051, -96.311660
75201,32.787760, -96.799427
75202,32.779253, -96.804768
75203,32.746823, -96.802681
75204,32.802127, -96.788853
75205,32.835893, -96.795514
75206,32.831279, -96.771191
75207,32.786796, -96.819971
75208,32.753141, -96.839613
75209,32.848310, -96.825474
75210,32.770635, -96.746362
75211,32.736986, -96.907815
75212,32.781246, -96.878831
75214,32.828494, -96.745968
75215,32.750602, -96.756846
75216,32.711324, -96.781215
75217,32.710306, -96.678549
75218,32.841987, -96.702574
75219,32.811813, -96.812898
75220,32.868529, -96.876118
75223,32.792244, -96.744003
75224,32.711405, -96.838591
75225,32.864887, -96.790359
75226,32.782826, -96.776443
75227,32.766810, -96.686900
75228,32.824924, -96.679438
75229,32.893295, -96.864339
75230,32.902679, -96.793393
75231,32.873485, -96.747539
75232,32.660862, -96.840948
75233,32.703913, -96.871889
